Pos.,Jogador,Equipe,Gols[28],Ano
1,Paulinho,Atlético Mineiro,20,2023
2,Luis Suárez,Grêmio,17,2023
2,Tiquinho Soares,Botafogo,17,2023
4,Hulk,Atlético Mineiro,15,2023
5,Marcos Leonardo,Santos,13,2023
5,Pedro,Flamengo,13,2023
7,Deyverson,Cuiabá,12,2023
7,Robson,Coritiba,12,2023
7,Vitor Roque,Athletico Paranaense,12,2023
1,Alerrandro,Vitória,15,2024
1,Yuri Alberto,Corinthians,15,2024
3,Estêvão,Palmeiras,13,2024
4,Pablo Vegetti,Vasco da Gama,12,2024
4,Luciano,São Paulo,11,2024
4,Pedro,Flamengo,11,2024
4,Raphael Veiga,Palmeiras,11,2024
4,Wesley,Internacional,11,2024
1,Kaio Jorge,Cruzeiro,21,2025
2,Giorgian de Arrascaeta,Flamengo,18,2025
3,Vitor Roque,Palmeiras,16,2025
4,Pablo Vegetti,Vasco da Gama,14,2025
4,Rayan,Vasco da Gama,14,2025
6,Reinaldo,Mirassol,13,2025
7,Carlos Vinícius,Grêmio,12,2025
7,Flaco López,Palmeiras,12,2025
7,Pedro,Flamengo,12,2025
