Pos.,Jogador,Equipe,Asst.[29],Ano
1,Hulk,Atlético Mineiro,11,2023
1,Luis Suárez,Grêmio,11,2023
3,Cristian Pavón,Atlético Mineiro,8,2023
3,Gerson,Flamengo,8,2023
5,Cauly,Bahia,7,2023
5,Jhon Arias,Fluminense,7,2023
5,PH Ganso,Fluminense,7,2023
5,Raphael Veiga,Palmeiras,7,2023
1,Rodrigo Garro,Corinthians,10,2024
2,Estêvão,Palmeiras,9,2024
3,Ganso,Fluminense,7,2024
3,Jefferson Savarino,Botafogo,7,2024
3,Matheus Pereira,Cruzeiro,7,2024
1,Giorgian de Arrascaeta,Flamengo,14,2025
2,Kaio Jorge,Cruzeiro,8,2025
2,Paulo Henrique,Vasco da Gama,8,2025
4,Alan Patrick,Internacional,7,2025
4,Cristian Pavón,Grêmio,7,2025
4,Jhon Jhon,Red Bull Bragantino,7,2025
4,Lucas Piton,Vasco da Gama,7,2025
4,Matheus Pereira,Cruzeiro,7,2025
4,Maurício,Palmeiras,7,2025
