Mandante,Placar,Visitante,Ano
América Mineiro,2–2,ATP,2023
América Mineiro,1–1,ATM,2023
América Mineiro,3–2,BAH,2023
América Mineiro,1–2,BOT,2023
América Mineiro,2–0,COR,2023
América Mineiro,0–3,CTB,2023
América Mineiro,0–4,CRU,2023
América Mineiro,1–2,CUI,2023
América Mineiro,0–3,FLA,2023
América Mineiro,0–3,FLU,2023
América Mineiro,2–1,FOR,2023
América Mineiro,0–1,GOI,2023
América Mineiro,3–4,GRE,2023
América Mineiro,1–2,INT,2023
América Mineiro,1–4,PAL,2023
América Mineiro,0–2,RBB,2023
América Mineiro,2–0,SAN,2023
América Mineiro,2–1,SPA,2023
América Mineiro,0–1,VAS,2023
Athletico Paranaense,3–2,AMM,2023
Athletico Paranaense,1–1,ATM,2023
Athletico Paranaense,2–0,BAH,2023
Athletico Paranaense,1–0,BOT,2023
Athletico Paranaense,1–0,COR,2023
Athletico Paranaense,3–2,CTB,2023
Athletico Paranaense,3–3,CRU,2023
Athletico Paranaense,2–0,CUI,2023
Athletico Paranaense,2–1,FLA,2023
Athletico Paranaense,2–2,FLU,2023
Athletico Paranaense,1–1,FOR,2023
Athletico Paranaense,2–0,GOI,2023
Athletico Paranaense,1–2,GRE,2023
Athletico Paranaense,2–1,INT,2023
Athletico Paranaense,2–2,PAL,2023
Athletico Paranaense,1–1,RBB,2023
Athletico Paranaense,3–0,SAN,2023
Athletico Paranaense,1–1,SPA,2023
Athletico Paranaense,0–0,VAS,2023
Atlético Mineiro,2–2,AMM,2023
Atlético Mineiro,2–1,ATP,2023
Atlético Mineiro,1–0,BAH,2023
Atlético Mineiro,1–0,BOT,2023
Atlético Mineiro,0–1,COR,2023
Atlético Mineiro,1–2,CTB,2023
Atlético Mineiro,0–1,CRU,2023
Atlético Mineiro,1–0,CUI,2023
Atlético Mineiro,1–2,FLA,2023
Atlético Mineiro,2–0,FLU,2023
Atlético Mineiro,3–1,FOR,2023
Atlético Mineiro,2–1,GOI,2023
Atlético Mineiro,3–0,GRE,2023
Atlético Mineiro,2–0,INT,2023
Atlético Mineiro,1–1,PAL,2023
Atlético Mineiro,1–1,RBB,2023
Atlético Mineiro,2–0,SAN,2023
Atlético Mineiro,2–1,SPA,2023
Atlético Mineiro,1–2,VAS,2023
Bahia,3–1,AMM,2023
Bahia,1–1,ATP,2023
Bahia,4–1,ATM,2023
Bahia,1–2,BOT,2023
Bahia,0–0,COR,2023
Bahia,3–1,CTB,2023
Bahia,2–2,CRU,2023
Bahia,0–3,CUI,2023
Bahia,2–3,FLA,2023
Bahia,1–0,FLU,2023
Bahia,2–0,FOR,2023
Bahia,1–1,GOI,2023
Bahia,1–2,GRE,2023
Bahia,1–0,INT,2023
Bahia,1–0,PAL,2023
Bahia,4–0,RBB,2023
Bahia,1–2,SAN,2023
Bahia,0–1,SPA,2023
Bahia,1–1,VAS,2023
Botafogo,2–0,AMM,2023
Botafogo,1–1,ATP,2023
Botafogo,2–0,ATM,2023
Botafogo,3–0,BAH,2023
Botafogo,3–0,COR,2023
Botafogo,4–1,CTB,2023
Botafogo,0–0,CRU,2023
Botafogo,0–1,CUI,2023
Botafogo,1–2,FLA,2023
Botafogo,1–0,FLU,2023
Botafogo,2–0,FOR,2023
Botafogo,1–1,GOI,2023
Botafogo,3–4,GRE,2023
Botafogo,3–1,INT,2023
Botafogo,3–4,PAL,2023
Botafogo,2–0,RBB,2023
Botafogo,1–1,SAN,2023
Botafogo,2–1,SPA,2023
Botafogo,2–0,VAS,2023
Corinthians,1–1,AMM,2023
Corinthians,1–0,ATP,2023
Corinthians,1–1,ATM,2023
Corinthians,1–5,BAH,2023
Corinthians,1–0,BOT,2023
Corinthians,3–1,CTB,2023
Corinthians,2–1,CRU,2023
Corinthians,1–1,CUI,2023
Corinthians,1–1,FLA,2023
Corinthians,2–0,FLU,2023
Corinthians,1–1,FOR,2023
Corinthians,1–1,GOI,2023
Corinthians,4–4,GRE,2023
Corinthians,1–2,INT,2023
Corinthians,0–0,PAL,2023
Corinthians,0–1,RBB,2023
Corinthians,1–1,SAN,2023
Corinthians,1–1,SPA,2023
Corinthians,3–1,VAS,2023
Coritiba,3–1,AMM,2023
Coritiba,2–0,ATP,2023
Coritiba,1–2,ATM,2023
Coritiba,2–4,BAH,2023
Coritiba,1–1,BOT,2023
Coritiba,0–2,COR,2023
Coritiba,1–0,CRU,2023
Coritiba,0–3,CUI,2023
Coritiba,2–3,FLA,2023
Coritiba,2–0,FLU,2023
Coritiba,0–3,FOR,2023
Coritiba,0–1,GOI,2023
Coritiba,1–2,GRE,2023
Coritiba,0–1,INT,2023
Coritiba,0–2,PAL,2023
Coritiba,0–1,RBB,2023
Coritiba,0–0,SAN,2023
Coritiba,1–1,SPA,2023
Coritiba,0–0,VAS,2023
Cruzeiro,1–1,AMM,2023
Cruzeiro,1–1,ATP,2023
Cruzeiro,0–1,ATM,2023
Cruzeiro,3–0,BAH,2023
Cruzeiro,0–0,BOT,2023
Cruzeiro,1–1,COR,2023
Cruzeiro,0–0,CTB,2023
Cruzeiro,0–1,CUI,2023
Cruzeiro,0–2,FLA,2023
Cruzeiro,0–2,FLU,2023
Cruzeiro,0–1,FOR,2023
Cruzeiro,0–1,GOI,2023
Cruzeiro,1–0,GRE,2023
Cruzeiro,1–2,INT,2023
Cruzeiro,1–1,PAL,2023
Cruzeiro,0–0,RBB,2023
Cruzeiro,2–1,SAN,2023
Cruzeiro,1–0,SPA,2023
Cruzeiro,2–2,VAS,2023
Cuiabá,2–2,AMM,2023
Cuiabá,3–0,ATP,2023
Cuiabá,0–4,ATM,2023
Cuiabá,1–1,BAH,2023
Cuiabá,0–1,BOT,2023
Cuiabá,0–1,COR,2023
Cuiabá,1–1,CTB,2023
Cuiabá,0–0,CRU,2023
Cuiabá,3–0,FLA,2023
Cuiabá,3–0,FLU,2023
Cuiabá,2–1,FOR,2023
Cuiabá,1–1,GOI,2023
Cuiabá,1–2,GRE,2023
Cuiabá,0–2,INT,2023
Cuiabá,0–2,PAL,2023
Cuiabá,1–1,RBB,2023
Cuiabá,3–0,SAN,2023
Cuiabá,2–1,SPA,2023
Cuiabá,0–2,VAS,2023
Flamengo,1–1,AMM,2023
Flamengo,0–3,ATP,2023
Flamengo,0–3,ATM,2023
Flamengo,1–0,BAH,2023
Flamengo,2–3,BOT,2023
Flamengo,1–0,COR,2023
Flamengo,3–0,CTB,2023
Flamengo,1–1,CRU,2023
Flamengo,2–1,CUI,2023
Flamengo,1–1,FLU,2023
Flamengo,2–0,FOR,2023
Flamengo,2–0,GOI,2023
Flamengo,3–0,GRE,2023
Flamengo,0–0,INT,2023
Flamengo,3–0,PAL,2023
Flamengo,1–0,RBB,2023
Flamengo,1–2,SAN,2023
Flamengo,1–1,SPA,2023
Flamengo,1–0,VAS,2023
Fluminense,3–1,AMM,2023
Fluminense,2–0,ATP,2023
Fluminense,1–1,ATM,2023
Fluminense,2–1,BAH,2023
Fluminense,0–2,BOT,2023
Fluminense,3–3,COR,2023
Fluminense,2–1,CTB,2023
Fluminense,1–0,CRU,2023
Fluminense,2–0,CUI,2023
Fluminense,0–0,FLA,2023
Fluminense,1–0,FOR,2023
Fluminense,5–3,GOI,2023
Fluminense,2–3,GRE,2023
Fluminense,2–0,INT,2023
Fluminense,2–1,PAL,2023
Fluminense,2–1,RBB,2023
Fluminense,1–0,SAN,2023
Fluminense,1–0,SPA,2023
Fluminense,1–1,VAS,2023
Fortaleza,3–2,AMM,2023
Fortaleza,1–0,ATP,2023
Fortaleza,2–1,ATM,2023
Fortaleza,0–0,BAH,2023
Fortaleza,2–2,BOT,2023
Fortaleza,2–1,COR,2023
Fortaleza,3–1,CTB,2023
Fortaleza,0–1,CRU,2023
Fortaleza,0–1,CUI,2023
Fortaleza,0–2,FLA,2023
Fortaleza,4–2,FLU,2023
Fortaleza,1–0,GOI,2023
Fortaleza,1–1,GRE,2023
Fortaleza,1–1,INT,2023
Fortaleza,2–2,PAL,2023
Fortaleza,0–3,RBB,2023
Fortaleza,4–0,SAN,2023
Fortaleza,0–0,SPA,2023
Fortaleza,2–0,VAS,2023
