Jogador,Clube,Adversário,Placar,Data,Ano
Everaldo,Bahia,Goiás,6–4 (F),7 de outubro,2023
Luis Suárez,Grêmio,Botafogo,4–3 (F),9 de novembro,2023
Raphael Veiga,Palmeiras,Juventude,5–3 (F),20 de outubro,2024
Yuri Alberto,Corinthians,Internacional,4–2 (C),3 de maio,2025
Kaio Jorge,Cruzeiro,Grêmio,4–1 (C),13 de julho,2025
Pedro,Flamengo,Vitória,8–0 (C),25 de agosto,2025
Vitor Roque,Palmeiras,Internacional,4–1 (C),13 de setembro,2025
Carlos Vinícius,Grêmio,Juventude,3–1 (C),26 de outubro,2025
Deyverson,Fortaleza,Atlético Mineiro,3–3 (F),12 de novembro,2025
Neymar,Santos,Juventude,3–0 (F),3 de dezembro,2025
