Equipe,Cidade,Estado,Em 2022,Estádio (mando),Capacidade,Títulos,Ano
América Mineiro,Belo Horizonte,MG,10.º,Independência,23 018,0,2023
Athletico Paranaense,Curitiba,PR,6.º,Ligga Arena,42 370,1,2023
Atlético Mineiro,Belo Horizonte,MG,7.º,Arena MRV,44 892,3,2023
Bahia,Salvador,BA,3.º (Série B),Itaipava Arena Fonte Nova,50 025,2,2023
Botafogo,Rio de Janeiro,RJ,11.º,Nilton Santos,44 661,2,2023
Corinthians,São Paulo,SP,4.º,Neo Química Arena,47 605,7,2023
Coritiba,Curitiba,PR,15.º,Couto Pereira,40 502,1,2023
Cruzeiro,Belo Horizonte,MG,1.º (Série B),Mineirão,61 927,4,2023
Cuiabá,Cuiabá,MT,16.º,Arena Pantanal,44 097,0,2023
Flamengo,Rio de Janeiro,RJ,5.º,Maracanã,78 838,7,2023
Fluminense,Rio de Janeiro,RJ,3.º,Maracanã,78 838,4,2023
Fortaleza,Fortaleza,CE,8.º,Arena Castelão,63 903,0,2023
Goiás,Goiânia,GO,13.º,Serrinha,14 525,0,2023
Grêmio,Porto Alegre,RS,2.º (Série B),Arena do Grêmio,55 662,2,2023
Internacional,Porto Alegre,RS,2.º,Beira-Rio,50 842,3,2023
Palmeiras,São Paulo,SP,1.º,Allianz Parque,43 713,1,2023
Red Bull Bragantino,Bragança Paulista,SP,14.º,Nabi Abi Chedid,15 010,0,2023
Santos,Santos,SP,12.º,Vila Belmiro,16 795,8,2023
São Paulo,São Paulo,SP,9.º,Morumbi,72 039,6,2023
Vasco da Gama,Rio de Janeiro,RJ,4.º (Série B),São Januário,21 680,4,2023
Athletico Paranaense,Curitiba,PR,8.º,Ligga Arena,42 370,1,2024
Atlético Goianiense,Goiânia,GO,4.º (Série B),Antônio Accioly,12 500,0,2024
Atlético Mineiro,Belo Horizonte,MG,3.º,Arena MRV,44 892,3,2024
Bahia,Salvador,BA,16.º,Casa de Apostas Arena Fonte Nova,50 025,2,2024
Botafogo,Rio de Janeiro,RJ,5.º,Nilton Santos,44 661,2,2024
Corinthians,São Paulo,SP,13.º,Neo Química Arena,47 605,7,2024
Criciúma,Criciúma,SC,3.º (Série B),Heriberto Hülse,19 225,0,2024
Cruzeiro,Belo Horizonte,MG,14.º,Mineirão,61 927,4,2024
Cuiabá,Cuiabá,MT,12.º,Arena Pantanal,44 097,0,2024
Flamengo,Rio de Janeiro,RJ,4.º,Maracanã,78 838,7,2024
Fluminense,Rio de Janeiro,RJ,7.º,Maracanã,78 838,4,2024
Fortaleza,Fortaleza,CE,10.º,Arena Castelão,63 903,0,2024
Grêmio,Porto Alegre,RS,2.º,Arena do Grêmio,55 662,2,2024
Internacional,Porto Alegre,RS,9.º,Beira-Rio,50 842,3,2024
Juventude,Caxias do Sul,RS,2.º (Série B),Alfredo Jaconi,19 924,0,2024
Palmeiras,São Paulo,SP,1.º,Allianz Parque,43 713,1,2024
Red Bull Bragantino,Bragança Paulista,SP,6.º,Nabi Abi Chedid,15 010,0,2024
São Paulo,São Paulo,SP,11.º,MorumBIS,72 039,6,2024
Vasco da Gama,Rio de Janeiro,RJ,15.º,São Januário,21 680,4,2024
Vitória,Salvador,BA,1.º (Série B),Barradão,29 168,0,2024
Atlético Mineiro,Belo Horizonte,MG,12.º,Arena MRV,44 892,3,2025
Bahia,Salvador,BA,8.º,Casa de Apostas Arena Fonte Nova,50 025,2,2025
Botafogo,Rio de Janeiro,RJ,1.º,Nilton Santos,44 661,3,2025
Ceará,Fortaleza,CE,4.º (Série B),Arena Castelão,63 903,0,2025
Corinthians,São Paulo,SP,7.º,Neo Química Arena,47 605,7,2025
Cruzeiro,Belo Horizonte,MG,9.º,Mineirão,61 927,4,2025
Flamengo,Rio de Janeiro,RJ,3.º,Maracanã,78 838,7,2025
Fluminense,Rio de Janeiro,RJ,13.º,Maracanã,78 838,4,2025
Fortaleza,Fortaleza,CE,4.º,Arena Castelão,63 903,0,2025
Grêmio,Porto Alegre,RS,14.º,Arena do Grêmio,60 540,2,2025
Internacional,Porto Alegre,RS,5.º,Beira-Rio,50 842,3,2025
Juventude,Caxias do Sul,RS,15.°,Alfredo Jaconi,19 924,0,2025
Mirassol,Mirassol,SP,2.º (Série B),Campos Maia,15 000,0,2025
Palmeiras,São Paulo,SP,2.º,Allianz Parque,43 713,1,2025
Red Bull Bragantino,Bragança Paulista,SP,16.º,Nabi Abi Chedid,15 010,0,2025
Santos,Santos,SP,1.º (Série B),Vila Belmiro,16 068,8,2025
São Paulo,São Paulo,SP,6.º,MorumBIS,72 039,6,2025
Sport,Recife,PE,3.º (Série B),Ilha do Retiro,26 418,1,2025
Vasco da Gama,Rio de Janeiro,RJ,10.º,São Januário,21 680,4,2025
Vitória,Salvador,BA,11.º,Barradão,29 168,0,2025
