Mandante \ Visitante,ATM,BAH,BOT,CEA,COR,CRU,FLA,FLU,FOR,GRE,INT,JUV,MIR,PAL,RBB,SAN,SPA,SPT,VAS,VIT
Atlético Mineiro,—,3–0,1–0,1–0,0–0,1–1,1–1,3–2,3–3,1–3,2–0,0–0,1–0,0–3,2–1,1–1,0–0,3–1,5–0,2–2
Bahia,2–1,—,1–0,1–0,1–1,1–2,1–0,3–3,2–3,4–0,1–0,3–0,1–1,1–0,2–1,2–0,2–1,2–0,1–0,2–1
Botafogo,1–0,2–1,—,3–2,1–1,0–2,0–3,2–0,4–2,3–2,4–0,2–0,3–3,0–1,4–1,2–2,2–2,3–2,3–0,0–0
Ceará,0–1,1–1,0–2,—,0–1,1–1,1–1,2–0,1–1,2–0,1–2,0–1,0–2,1–3,1–0,3–0,1–1,2–0,2–1,1–0
Corinthians,1–0,1–2,2–2,0–1,—,0–0,1–2,0–2,1–1,2–0,4–2,1–1,3–0,1–1,1–2,1–0,3–1,2–1,3–0,0–0
Cruzeiro,0–0,3–0,2–2,1–2,3–0,—,2–1,0–0,1–0,4–1,2–1,4–0,2–1,2–1,2–1,1–2,1–0,1–1,1–0,3–1
Flamengo,1–0,1–0,0–0,1–0,4–0,0–0,—,1–0,5–0,1–1,1–1,6–0,2–1,3–2,3–0,3–2,2–0,3–0,1–1,8–0
Fluminense,3–0,2–0,2–0,1–0,0–1,0–2,2–1,—,2–1,1–0,1–0,1–0,1–0,1–2,2–1,1–0,6–0,2–1,2–1,1–1
Fortaleza,1–0,1–1,0–5,0–1,2–1,0–2,1–0,2–0,—,2–2,0–0,5–0,0–1,1–2,3–1,2–3,0–2,1–0,0–2,2–0
Grêmio,2–1,1–0,1–1,0–0,1–1,0–1,0–2,1–2,2–1,—,1–1,3–1,0–1,3–2,1–1,1–0,2–0,0–1,2–0,3–1
Internacional,0–0,2–2,2–0,1–0,1–1,3–0,1–3,0–2,2–1,2–3,—,3–1,1–1,0–1,3–1,1–1,1–2,2–0,1–1,1–0
Juventude,0–1,1–1,1–3,2–1,2–1,3–3,0–2,1–1,1–2,0–2,1–1,—,2–2,0–2,1–0,0–3,0–1,2–0,2–0,2–0
Mirassol,2–2,5–1,0–0,3–0,2–1,1–1,3–3,2–1,1–1,4–1,3–1,2–0,—,2–1,1–1,3–0,3–0,1–0,3–2,1–1
Palmeiras,3–2,0–1,0–0,2–1,2–0,0–0,0–2,0–0,4–1,1–0,4–1,4–1,1–1,—,5–1,2–0,1–0,3–0,3–0,0–0
Red Bull Bragantino,2–0,0–3,1–0,2–2,2–1,1–0,1–2,4–2,0–1,1–0,1–3,1–0,1–0,1–2,—,2–2,2–2,1–1,0–3,4–0
Santos,2–0,2–2,0–1,0–0,3–1,3–0,1–0,0–0,1–1,1–1,1–2,3–1,1–1,1–0,1–2,—,1–0,3–0,0–6,0–1
São Paulo,2–0,2–0,1–0,0–1,2–0,1–1,2–2,3–1,0–0,2–1,3–0,2–1,0–2,2–3,0–1,2–1,—,0–0,1–3,2–0
Sport,2–4,0–0,0–1,1–1,1–0,0–4,1–5,2–2,0–0,0–4,1–1,0–2,1–2,1–2,0–1,2–2,2–2,—,2–3,1–3
Vasco da Gama,1–1,3–1,0–2,2–2,2–3,2–0,0–0,2–0,3–0,1–1,5–1,1–3,0–2,0–1,0–2,2–1,0–2,3–1,—,4–3
Vitória,1–0,2–1,0–0,1–0,0–1,0–0,1–2,0–1,2–1,1–1,1–0,2–2,2–0,2–2,1–0,0–1,1–0,2–2,2–1,—
